Archive,URI-Ms,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
webarchive.loc.gov,1594,0,1,1,1,4,100,100,100,99,100,100,100,100,98,99,99,99,98,98,99,98,0
vefsafn.is,1589,6,8,10,11,11,13,13,14,42,46,74,71,70,85,102,116,140,153,152,152,150,150
webcitation.org,1585,0,0,0,0,0,0,0,0,0,28,89,85,70,119,156,156,157,156,155,130,127,157
arquivo.pt,1569,30,14,14,15,15,0,0,0,0,1,1,0,163,167,166,163,162,167,165,164,162,0
web.archive.org,1566,73,73,73,69,71,71,72,73,72,73,72,72,72,72,70,69,69,67,70,71,72,70
archive.is,1396,11,10,9,12,10,12,14,13,18,14,20,33,25,29,28,59,12,214,214,214,213,212
wayback.archive-it.org,1383,17,15,2,1,3,1,1,0,1,51,109,107,108,105,109,107,106,109,107,107,109,108
swap.stanford.edu,1222,0,0,0,0,0,0,0,0,0,0,0,21,77,185,166,119,135,164,180,140,21,14
nationalarchives.gov.uk,994,0,0,0,0,0,0,1,2,25,12,50,40,97,117,106,110,104,94,83,59,54,40
europarchive.org,979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,219,72,172,146,213,37
webharvest.gov,712,0,0,0,0,0,0,0,0,128,0,126,0,91,0,129,2,127,59,38,12,0,0
digar.ee,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,95,69,89,69,74,56,0
proni.gov.uk,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,94,19,75,75,78,59,52
collectionscanada.gc.ca,351,0,0,0,0,0,0,0,0,0,40,173,138,0,0,0,0,0,0,0,0,0,0
webarchive.org.uk,349,0,0,0,0,0,0,0,0,0,6,9,10,31,34,31,34,34,30,34,29,34,33
archive.bibalex.org,199,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,99,98,0,0,0,0,0
perma-archives.org,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,53,53,53
Total,16627,137,121,110,109,114,197,201,202,385,371,824,677,904,1011,1215,1442,1550,1547,1635,1528,1421,926
